TIME,LAT,LONG,VAL
36.9,36.0731715,-79.77600918,161
37,36.07317244,-79.77600675,161
37.1,36.07317337,-79.77600434,161
37.2,36.0731743,-79.7760019,160
37.3,36.07317523,-79.77599944,159
37.4,36.07317617,-79.77599693,158
37.5,36.0731771,-79.77599438,158
37.6,36.07317803,-79.7759918,146
37.7,36.07317895,-79.77598925,146
37.8,36.07317987,-79.77598672,146
37.9,36.0731808,-79.77598424,146
38,36.07318173,-79.77598181,148
38.1,36.07318269,-79.77597941,149
38.2,36.07318367,-79.77597701,150
38.3,36.07318468,-79.77597458,150
38.4,36.07318572,-79.77597208,151
38.5,36.07318678,-79.7759695,152
38.6,36.07318785,-79.77596682,153
38.7,36.07318892,-79.77596408,154
38.8,36.07318998,-79.77596132,156
38.9,36.07319101,-79.77595855,157
39,36.07319202,-79.77595579,159
39.1,36.07319301,-79.77595308,160
39.2,36.07319399,-79.77595038,160
39.3,36.07319496,-79.77594769,160
39.4,36.07319594,-79.77594499,160
39.5,36.07319692,-79.77594226,160
39.6,36.07319792,-79.77593948,160
39.7,36.07319892,-79.77593663,159
39.8,36.07319993,-79.77593374,158
39.9,36.07320095,-79.7759308,158
40,36.07320198,-79.77592783,157
40.1,36.07320302,-79.77592484,157
40.2,36.07320406,-79.77592185,156
40.3,36.0732051,-79.77591889,155
40.4,36.07320616,-79.77591595,154
40.5,36.07320721,-79.77591304,152
40.6,36.07320827,-79.77591016,152
40.7,36.07320933,-79.7759073,150
40.8,36.07321038,-79.77590445,150
40.9,36.07321142,-79.7759016,149
41,36.07321246,-79.77589875,149
41.1,36.07321349,-79.77589587,149
41.2,36.07321452,-79.77589297,149
41.3,36.07321554,-79.77589004,149
41.4,36.07321657,-79.77588708,149
41.5,36.0732176,-79.77588407,149
41.6,36.07321863,-79.77588103,149
41.7,36.07321966,-79.77587797,149
41.8,36.07322069,-79.7758749,149
41.9,36.07322171,-79.77587182,149
42,36.07322274,-79.77586877,149
42.1,36.07322377,-79.77586575,149
42.2,36.07322481,-79.77586277,149
42.3,36.07322586,-79.77585982,149
42.4,36.07322692,-79.77585689,149
42.5,36.07322798,-79.77585399,149
42.6,36.07322903,-79.77585113,149
42.7,36.07323008,-79.77584827,149
42.8,36.07323111,-79.77584541,149
42.9,36.07323212,-79.77584256,149
43,36.07323311,-79.77583975,149
43.1,36.07323409,-79.77583699,149
43.2,36.07323508,-79.77583428,149
43.3,36.07323607,-79.77583163,149
43.4,36.07323707,-79.77582905,149
43.5,36.0732381,-79.77582657,149
43.6,36.07323915,-79.77582418,149
43.7,36.07324022,-79.77582187,149
43.8,36.0732413,-79.77581961,149
43.9,36.0732424,-79.77581737,149
44,36.0732435,-79.77581514,149
